file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_74_30_4_0.json,2,10.1657,1.0149,0.4447,0.5666,1.0000,1.1782,1.1632,
fcma_prob_74_30_4_0.json,3,10.1657,1.0149,0.0634,0.2044,1.0000,1.2800,1.3791,
fcma_prob_75_30_4_0.json,1,0.9234,1.1609,1.8299,2.0512,1.0000,1.0853,1.0954,
fcma_prob_75_30_4_0.json,2,0.9944,1.2501,0.4133,0.5459,1.0000,1.1815,1.1792,
fcma_prob_75_30_4_0.json,3,1.0464,1.3154,0.0626,0.1725,1.0000,1.1930,1.0295,
fcma_prob_76_30_4_3_2_0.json,1,360.0494,1.0202,1.3347,2.2877,1.0000,1.0706,1.1808,
fcma_prob_76_30_4_3_2_0.json,2,361.3306,1.0238,0.5183,1.3136,1.0000,1.1497,1.1983,
fcma_prob_76_30_4_3_2_0.json,3,361.5686,1.0245,0.0625,0.6765,1.0000,1.3527,1.0842,
fcma_prob_77_30_4_3_2_0.json,1,19.7020,1.0276,14.6981,14.8399,1.0000,1.0349,1.0353,
fcma_prob_77_30_4_3_2_0.json,2,20.5156,1.0701,0.3620,0.5511,1.0000,1.1849,1.1467,
fcma_prob_77_30_4_3_2_0.json,3,21.2724,1.1096,0.0469,0.1571,1.0000,1.1294,0.9830,
fcma_prob_78_30_4_3_8_0.json,1,316.7157,1.1260,1.4178,3.2328,1.0000,1.0807,1.0899,
fcma_prob_78_30_4_3_8_0.json,2,317.4466,1.1286,0.4663,1.9767,1.0000,1.1419,1.2215,
fcma_prob_78_30_4_3_8_0.json,3,319.2409,1.1350,0.0608,1.2708,1.0000,1.3911,1.1181,
fcma_prob_79_30_4_3_8_0.json,1,40.2141,1.2374,54.0947,54.5814,1.0000,1.3903,1.3865,
fcma_prob_79_30_4_3_8_0.json,2,38.0296,1.1702,0.4422,0.8650,1.0000,1.1780,1.1998,
fcma_prob_79_30_4_3_8_0.json,3,41.5398,1.2782,0.0498,0.3970,1.0000,1.0141,1.1345,
fcma_prob_7_1_1_3_8_0.json,1,1.5360,1.3333,0.2034,0.2819,1.0000,1.1892,1.3118,
fcma_prob_7_1_1_3_8_0.json,2,1.6240,1.4097,0.0952,0.1445,1.0000,1.1316,1.2796,
fcma_prob_7_1_1_3_8_0.json,3,1.6240,1.4097,0.0062,0.0192,1.0000,1.0364,0.9465,
fcma_prob_8_1_4_0.json,1,0.5110,1.0000,0.2225,0.2392,1.0000,1.1483,1.1736,
fcma_prob_8_1_4_0.json,2,0.5110,1.0000,0.0800,0.1111,1.0000,0.9635,1.2091,
fcma_prob_8_1_4_0.json,3,0.5110,1.0000,0.0000,0.0157,1.0000,0.0000,0.9170,
fcma_prob_9_1_4_0.json,1,0.0912,1.0000,0.2208,0.2328,1.0000,1.1582,1.1961,
